Gmt time;Open;High;Low;Close;Volume
2024-01-08 22:00:00;2029.38;2029.85;2026.14;2027.19;4802
2024-01-08 23:00:00;2027.18;2028.77;2027.13;2027.9;2063
2024-01-09 01:00:00;2026.96;2030.88;2026.96;2030.68;1494
2024-01-09 02:00:00;2030.68;2034.96;2030.67;2034.39;3124
2024-01-09 03:00:00;2034.36;2035.67;2031.19;2032.17;4452
2024-01-09 04:00:00;2032.17;2035.88;2032.09;2034.11;3573
2024-01-09 05:00:00;2034.16;2034.89;2033.01;2033.63;2156
2024-01-09 06:00:00;2033.63;2034.94;2032.28;2032.88;2363
2024-01-09 07:00:00;2032.88;2033.43;2030.33;2032.8;2468
2024-01-09 08:00:00;2032.8;2035.19;2031.19;2033.15;3369
2024-01-09 09:00:00;2033.2;2037.23;2032.18;2036.02;5580
2024-01-09 10:00:00;2036.1;2038.29;2031.31;2034.33;6656
2024-01-09 11:00:00;2034.32;2037.04;2033.17;2035.44;4488
2024-01-09 12:00:00;2035.44;2038.56;2034.82;2035.43;4187
2024-01-09 13:00:00;2035.45;2035.73;2033.7;2035.02;3560
2024-01-09 14:00:00;2035.02;2036.35;2033.95;2036.34;3769
2024-01-09 15:00:00;2036.43;2042.03;2031.65;2038.65;8581
2024-01-09 16:00:00;2038.65;2040.16;2033.98;2034.73;9470
2024-01-09 17:00:00;2034.73;2035.67;2028.77;2028.81;8461
2024-01-09 18:00:00;2028.84;2031.62;2026.06;2031.22;7334
2024-01-09 19:00:00;2031.19;2032.06;2027.09;2027.67;5127
2024-01-09 20:00:00;2027.67;2029.69;2026.82;2029.23;4592
2024-01-09 21:00:00;2029.23;2030.07;2027.8;2028.85;2703
2024-01-09 22:00:00;2028.95;2031.14;2028.29;2028.4;2662
2024-01-09 23:00:00;2028.4;2030.17;2028.4;2030.07;1108
2024-01-10 01:00:00;2028.96;2031.18;2028.37;2030.8;1899
2024-01-10 02:00:00;2030.8;2031.2;2029.6;2030.25;1942
2024-01-10 03:00:00;2030.24;2032.51;2027.31;2031.79;4390
2024-01-10 04:00:00;2031.79;2032.86;2030.33;2031.84;3291
2024-01-10 05:00:00;2031.84;2031.99;2028.09;2028.88;2827
2024-01-10 06:00:00;2028.87;2030.72;2028.43;2029.8;1944
2024-01-10 07:00:00;2029.8;2030.21;2025.49;2026.64;3259
2024-01-10 08:00:00;2026.64;2027.01;2023.88;2024.61;3672
2024-01-10 09:00:00;2024.61;2031.69;2024.32;2031.0;4815
2024-01-10 10:00:00;2031.01;2036.05;2030.25;2035.33;6599
2024-01-10 11:00:00;2035.33;2036.17;2034.67;2035.72;4716
2024-01-10 12:00:00;2035.74;2040.29;2034.69;2034.84;4610
2024-01-10 13:00:00;2034.85;2035.33;2032.82;2034.06;3786
2024-01-10 14:00:00;2034.04;2035.69;2031.37;2031.53;4871
2024-01-10 15:00:00;2031.54;2034.07;2030.05;2030.27;7583
2024-01-10 16:00:00;2030.32;2033.61;2026.56;2027.44;8772
2024-01-10 17:00:00;2027.42;2029.8;2024.86;2027.9;9034
2024-01-10 18:00:00;2028.01;2028.49;2024.77;2027.06;6524
2024-01-10 19:00:00;2027.08;2027.78;2022.3;2024.03;5370
2024-01-10 20:00:00;2024.03;2024.52;2021.42;2023.71;5302
2024-01-10 21:00:00;2023.71;2024.55;2020.49;2024.06;3298
2024-01-10 22:00:00;2024.06;2025.08;2021.84;2023.53;4587
2024-01-10 23:00:00;2023.53;2024.5;2023.33;2024.2;1426
2024-01-11 01:00:00;2022.39;2027.93;2022.25;2026.78;1693
2024-01-11 02:00:00;2026.85;2028.49;2026.56;2027.87;2188
2024-01-11 03:00:00;2027.87;2030.36;2027.08;2029.75;3794
2024-01-11 04:00:00;2029.75;2031.98;2028.87;2029.67;3189
2024-01-11 05:00:00;2029.67;2031.07;2028.8;2030.92;2007
2024-01-11 06:00:00;2030.92;2032.25;2030.89;2032.08;1407
2024-01-11 07:00:00;2032.18;2034.66;2031.1;2032.99;2744
2024-01-11 08:00:00;2033.0;2035.09;2032.15;2034.02;3005
2024-01-11 09:00:00;2034.02;2035.67;2033.61;2033.91;3438
2024-01-11 10:00:00;2033.91;2034.04;2030.44;2030.94;5136
2024-01-11 11:00:00;2030.94;2032.48;2030.21;2031.33;3841
2024-01-11 12:00:00;2031.33;2032.78;2030.52;2032.11;3821
2024-01-11 13:00:00;2032.09;2034.43;2031.39;2034.36;5766
2024-01-11 14:00:00;2034.42;2035.11;2031.65;2032.46;6825
2024-01-11 15:00:00;2032.45;2039.59;2025.18;2029.49;13952
2024-01-11 16:00:00;2029.5;2034.92;2024.99;2029.75;14082
2024-01-11 17:00:00;2029.75;2033.05;2025.24;2029.07;12515
2024-01-11 18:00:00;2029.07;2029.67;2013.75;2016.73;11243
2024-01-11 19:00:00;2016.66;2018.45;2013.3;2014.35;7632
2024-01-11 20:00:00;2014.36;2017.04;2013.85;2017.02;6104
2024-01-11 21:00:00;2017.06;2027.41;2017.06;2026.46;5584
2024-01-11 22:00:00;2026.45;2028.56;2023.51;2027.52;5045
2024-01-11 23:00:00;2027.5;2029.59;2027.39;2028.72;1858
2024-01-12 01:00:00;2027.9;2035.57;2027.9;2035.3;2764
2024-01-12 02:00:00;2035.26;2035.45;2030.3;2031.13;2989
2024-01-12 03:00:00;2031.13;2034.82;2030.12;2033.84;5653
2024-01-12 04:00:00;2033.87;2035.33;2033.22;2034.02;3657
2024-01-12 05:00:00;2034.0;2035.64;2033.73;2033.95;2627
2024-01-12 06:00:00;2033.93;2035.04;2032.91;2034.71;1957
2024-01-12 07:00:00;2034.71;2037.13;2033.72;2036.03;2760
2024-01-12 08:00:00;2036.03;2036.8;2034.91;2035.23;2953
2024-01-12 09:00:00;2035.28;2039.38;2034.18;2037.59;4993
2024-01-12 10:00:00;2037.56;2039.84;2037.06;2038.74;6791
2024-01-12 11:00:00;2038.69;2040.13;2037.85;2038.1;5482
2024-01-12 12:00:00;2038.14;2046.16;2038.05;2045.87;5631
2024-01-12 13:00:00;2045.89;2047.43;2044.16;2045.42;6495
2024-01-12 14:00:00;2045.43;2053.71;2045.43;2047.81;8180
2024-01-12 15:00:00;2047.87;2056.65;2044.42;2056.18;13293
2024-01-12 16:00:00;2056.18;2062.28;2053.36;2056.03;13368
2024-01-12 17:00:00;2055.91;2060.15;2050.95;2053.66;12514
2024-01-12 18:00:00;2053.75;2055.59;2048.29;2048.31;10138
2024-01-12 19:00:00;2048.31;2048.6;2041.5;2043.94;9412
2024-01-12 20:00:00;2043.99;2048.73;2043.01;2047.57;6959
2024-01-12 21:00:00;2047.45;2049.22;2046.21;2047.32;5171
2024-01-12 22:00:00;2047.37;2047.67;2046.09;2047.55;4605
2024-01-12 23:00:00;2047.38;2049.22;2046.9;2048.93;2517
2024-01-15 01:00:00;2048.58;2048.78;2046.36;2047.66;2360
2024-01-15 02:00:00;2047.64;2048.48;2045.82;2047.89;2627
2024-01-15 03:00:00;2047.85;2051.4;2047.49;2051.0;4695
2024-01-15 04:00:00;2051.0;2056.46;2049.87;2056.43;4721
2024-01-15 05:00:00;2056.43;2058.12;2055.56;2057.45;3925
2024-01-15 06:00:00;2057.45;2057.62;2053.57;2054.32;2562
2024-01-15 07:00:00;2054.34;2055.6;2053.05;2055.17;2388
2024-01-15 08:00:00;2055.17;2056.97;2053.85;2055.39;2850
