Gmt time;Open;High;Low;Close;Volume
2024-01-08 22:00:00;2029.38;2029.85;2026.14;2027.9;6865
2024-01-09 00:00:00;2026.96;2030.88;2026.96;2030.68;1494
2024-01-09 02:00:00;2030.68;2035.67;2030.67;2032.17;7576
2024-01-09 04:00:00;2032.17;2035.88;2032.09;2033.63;5729
2024-01-09 06:00:00;2033.63;2034.94;2030.33;2032.8;4831
2024-01-09 08:00:00;2032.8;2037.23;2031.19;2036.02;8949
2024-01-09 10:00:00;2036.1;2038.29;2031.31;2035.44;11144
2024-01-09 12:00:00;2035.44;2038.56;2033.7;2035.02;7747
2024-01-09 14:00:00;2035.02;2042.03;2031.65;2038.65;12350
2024-01-09 16:00:00;2038.65;2040.16;2028.77;2028.81;17931
2024-01-09 18:00:00;2028.84;2032.06;2026.06;2027.67;12461
2024-01-09 20:00:00;2027.67;2030.07;2026.82;2028.85;7295
2024-01-09 22:00:00;2028.95;2031.14;2028.29;2030.07;3770
2024-01-10 00:00:00;2028.96;2031.18;2028.37;2030.8;1899
2024-01-10 02:00:00;2030.8;2032.51;2027.31;2031.79;6332
2024-01-10 04:00:00;2031.79;2032.86;2028.09;2028.88;6118
2024-01-10 06:00:00;2028.87;2030.72;2025.49;2026.64;5203
2024-01-10 08:00:00;2026.64;2031.69;2023.88;2031.0;8487
2024-01-10 10:00:00;2031.01;2036.17;2030.25;2035.72;11315
2024-01-10 12:00:00;2035.74;2040.29;2032.82;2034.06;8396
2024-01-10 14:00:00;2034.04;2035.69;2030.05;2030.27;12454
2024-01-10 16:00:00;2030.32;2033.61;2024.86;2027.9;17806
2024-01-10 18:00:00;2028.01;2028.49;2022.3;2024.03;11894
2024-01-10 20:00:00;2024.03;2024.55;2020.49;2024.06;8600
2024-01-10 22:00:00;2024.06;2025.08;2021.84;2024.2;6013
2024-01-11 00:00:00;2022.39;2027.93;2022.25;2026.78;1693
2024-01-11 02:00:00;2026.85;2030.36;2026.56;2029.75;5982
2024-01-11 04:00:00;2029.75;2031.98;2028.8;2030.92;5196
2024-01-11 06:00:00;2030.92;2034.66;2030.89;2032.99;4151
2024-01-11 08:00:00;2033.0;2035.67;2032.15;2033.91;6443
2024-01-11 10:00:00;2033.91;2034.04;2030.21;2031.33;8977
2024-01-11 12:00:00;2031.33;2034.43;2030.52;2034.36;9587
2024-01-11 14:00:00;2034.42;2039.59;2025.18;2029.49;20777
2024-01-11 16:00:00;2029.5;2034.92;2024.99;2029.07;26597
2024-01-11 18:00:00;2029.07;2029.67;2013.3;2014.35;18875
2024-01-11 20:00:00;2014.36;2027.41;2013.85;2026.46;11688
2024-01-11 22:00:00;2026.45;2029.59;2023.51;2028.72;6903
2024-01-12 00:00:00;2027.9;2035.57;2027.9;2035.3;2764
2024-01-12 02:00:00;2035.26;2035.45;2030.12;2033.84;8642
2024-01-12 04:00:00;2033.87;2035.64;2033.22;2033.95;6284
2024-01-12 06:00:00;2033.93;2037.13;2032.91;2036.03;4717
2024-01-12 08:00:00;2036.03;2039.38;2034.18;2037.59;7946
2024-01-12 10:00:00;2037.56;2040.13;2037.06;2038.1;12273
2024-01-12 12:00:00;2038.14;2047.43;2038.05;2045.42;12126
2024-01-12 14:00:00;2045.43;2056.65;2044.42;2056.18;21473
2024-01-12 16:00:00;2056.18;2062.28;2050.95;2053.66;25882
2024-01-12 18:00:00;2053.75;2055.59;2041.5;2043.94;19550
2024-01-12 20:00:00;2043.99;2049.22;2043.01;2047.32;12130
2024-01-12 22:00:00;2047.37;2049.22;2046.09;2048.93;7122
2024-01-15 00:00:00;2048.58;2048.78;2046.36;2047.66;2360
2024-01-15 02:00:00;2047.64;2051.4;2045.82;2051.0;7322
2024-01-15 04:00:00;2051.0;2058.12;2049.87;2057.45;8646
2024-01-15 06:00:00;2057.45;2057.62;2053.05;2055.17;4950
2024-01-15 08:00:00;2055.17;2056.97;2052.94;2054.18;7193
2024-01-15 10:00:00;2054.23;2058.65;2052.97;2055.03;10924
2024-01-15 12:00:00;2055.03;2055.18;2051.55;2053.36;8361
2024-01-15 14:00:00;2053.35;2054.33;2051.4;2054.26;9341
2024-01-15 16:00:00;2054.27;2054.47;2049.31;2053.3;10710
2024-01-15 18:00:00;2053.3;2056.42;2053.27;2055.42;7626
2024-01-15 20:00:00;2055.53;2055.53;2053.63;2054.48;1472
2024-01-16 00:00:00;2054.28;2055.42;2053.4;2054.05;1836
2024-01-16 02:00:00;2054.11;2054.56;2049.98;2050.84;8692
2024-01-16 04:00:00;2050.85;2051.62;2048.4;2049.46;7346
2024-01-16 06:00:00;2049.46;2050.09;2047.57;2048.54;5566
2024-01-16 08:00:00;2048.53;2050.92;2047.4;2049.39;8614
2024-01-16 10:00:00;2049.39;2050.12;2038.74;2041.26;16905
2024-01-16 12:00:00;2041.23;2042.5;2038.29;2039.9;10421
2024-01-16 14:00:00;2039.91;2045.02;2031.4;2037.67;16859
2024-01-16 16:00:00;2037.63;2042.58;2036.89;2041.18;19453
2024-01-16 18:00:00;2041.19;2041.29;2024.96;2025.35;20677
2024-01-16 20:00:00;2025.37;2030.15;2024.26;2029.25;10532
2024-01-16 22:00:00;2029.27;2029.77;2027.15;2028.3;4826
2024-01-17 00:00:00;2027.29;2028.33;2025.85;2028.14;1802
2024-01-17 02:00:00;2028.17;2030.76;2025.64;2030.27;7560
2024-01-17 04:00:00;2030.25;2032.95;2023.44;2024.06;8712
2024-01-17 06:00:00;2024.03;2025.8;2019.37;2020.64;7258
2024-01-17 08:00:00;2020.66;2026.14;2017.66;2025.77;11996
2024-01-17 10:00:00;2025.65;2026.63;2019.05;2023.92;10374
