Gmt time;Open;High;Low;Close;Volume
2024-01-09 00:00:00;1.09496;1.09535;1.09485;1.09505;233
2024-01-09 00:30:00;1.09505;1.09547;1.09493;1.09494;450
2024-01-09 01:00:00;1.09503;1.09524;1.09494;1.09517;379
2024-01-09 01:30:00;1.0952;1.0952;1.09495;1.09499;322
2024-01-09 02:00:00;1.09499;1.09576;1.09494;1.09562;892
2024-01-09 02:30:00;1.09562;1.09593;1.0954;1.0955300000000001;660
2024-01-09 03:00:00;1.09552;1.09579;1.09523;1.09543;846
2024-01-09 03:30:00;1.09543;1.09618;1.09515;1.09615;1225
2024-01-09 04:00:00;1.09616;1.09646;1.09609;1.09618;772
2024-01-09 04:30:00;1.09618;1.09648;1.09607;1.09629;663
2024-01-09 05:00:00;1.09629;1.09662;1.0961400000000001;1.09632;566
2024-01-09 05:30:00;1.09632;1.09653;1.09609;1.09628;749
2024-01-09 06:00:00;1.09629;1.09631;1.09536;1.09539;507
2024-01-09 06:30:00;1.09539;1.0959;1.09538;1.09562;459
2024-01-09 07:00:00;1.09562;1.09563;1.09489;1.09496;526
2024-01-09 07:30:00;1.09496;1.09517;1.09481;1.09498;639
2024-01-09 08:00:00;1.09498;1.0955;1.09482;1.09515;808
2024-01-09 08:30:00;1.09514;1.09529;1.09487;1.09501;926
2024-01-09 09:00:00;1.095;1.09594;1.09461;1.09584;1641
2024-01-09 09:30:00;1.09584;1.0963;1.09554;1.09567;1561
2024-01-09 10:00:00;1.09566;1.09566;1.0939;1.09406;1975
2024-01-09 10:30:00;1.09406;1.09518;1.09406;1.09499;1750
2024-01-09 11:00:00;1.09499;1.09506;1.09381;1.09407;2121
2024-01-09 11:30:00;1.09407;1.09452;1.09391;1.09438;1608
2024-01-09 12:00:00;1.09444;1.09482;1.0936;1.09463;1625
2024-01-09 12:30:00;1.09462;1.09473;1.09326;1.09353;1553
2024-01-09 13:00:00;1.09353;1.09359;1.09304;1.09346;1418
2024-01-09 13:30:00;1.09346;1.09347;1.09289;1.09315;1208
2024-01-09 14:00:00;1.09315;1.09416;1.09289;1.09395;1443
2024-01-09 14:30:00;1.09397;1.09417;1.09291;1.09406;1942
2024-01-09 15:00:00;1.09407;1.09469;1.0933;1.09358;2113
2024-01-09 15:30:00;1.0936;1.09468;1.09337;1.09461;3023
2024-01-09 16:00:00;1.0946;1.09475;1.09381;1.09426;2724
2024-01-09 16:30:00;1.09426;1.09513;1.094;1.09456;3292
2024-01-09 17:00:00;1.09459;1.09468;1.09352;1.0937000000000001;2739
2024-01-09 17:30:00;1.09371;1.09374;1.09177;1.09179;3257
2024-01-09 18:00:00;1.09178;1.09282;1.09106;1.09262;2292
2024-01-09 18:30:00;1.09261;1.09352;1.09228;1.09344;1648
2024-01-09 19:00:00;1.09344;1.09391;1.09302;1.09379;1602
2024-01-09 19:30:00;1.09379;1.09392;1.09335;1.0934;1405
2024-01-09 20:00:00;1.09341;1.09399;1.09281;1.09283;1738
2024-01-09 20:30:00;1.09283;1.09284;1.09225;1.09242;1382
2024-01-09 21:00:00;1.09242;1.09286;1.09217;1.09227;1499
2024-01-09 21:30:00;1.09227;1.09251;1.0919699999999999;1.0925;722
2024-01-09 22:00:00;1.0925;1.09293;1.0925;1.09276;1175
2024-01-09 22:30:00;1.09276;1.09292;1.09247;1.09276;1018
2024-01-09 23:00:00;1.09279;1.09305;1.09274;1.09296;471
2024-01-09 23:30:00;1.09296;1.0931;1.09296;1.09305;502
2024-01-10 00:00:00;1.09275;1.09279;1.09221;1.09266;309
2024-01-10 00:30:00;1.09268;1.09283;1.09268;1.09274;453
2024-01-10 01:00:00;1.09275;1.09324;1.09273;1.09317;174
2024-01-10 01:30:00;1.0932;1.09321;1.09296;1.09318;339
2024-01-10 02:00:00;1.09318;1.09364;1.09315;1.0936;699
2024-01-10 02:30:00;1.09359;1.09359;1.0929;1.09308;935
2024-01-10 03:00:00;1.09308;1.0930900000000001;1.09261;1.09285;887
2024-01-10 03:30:00;1.09286;1.09334;1.09283;1.09323;825
2024-01-10 04:00:00;1.09323;1.09354;1.0932;1.09333;810
2024-01-10 04:30:00;1.09333;1.0936;1.09318;1.09339;558
2024-01-10 05:00:00;1.09339;1.09361;1.09318;1.09347;594
2024-01-10 05:30:00;1.09347;1.09349;1.09277;1.09294;724
2024-01-10 06:00:00;1.09292;1.09316;1.09288;1.09308;471
2024-01-10 06:30:00;1.09308;1.0933;1.09302;1.09321;466
2024-01-10 07:00:00;1.09321;1.09337;1.09305;1.09328;393
2024-01-10 07:30:00;1.09328;1.09341;1.09305;1.09325;506
2024-01-10 08:00:00;1.09323;1.09335;1.0927;1.09312;787
2024-01-10 08:30:00;1.09312;1.09314;1.09236;1.09247;769
2024-01-10 09:00:00;1.09253;1.09346;1.09247;1.09332;1467
2024-01-10 09:30:00;1.09332;1.09454;1.09259;1.09262;2172
2024-01-10 10:00:00;1.09262;1.09421;1.09227;1.0941;2410
2024-01-10 10:30:00;1.0941;1.09449;1.09366;1.09434;1793
2024-01-10 11:00:00;1.09435;1.09498;1.09417;1.09479;1617
2024-01-10 11:30:00;1.09479;1.09519;1.0945;1.09473;1377
2024-01-10 12:00:00;1.09473;1.09548;1.09452;1.09532;1490
2024-01-10 12:30:00;1.09532;1.09532;1.09474;1.09493;1162
2024-01-10 13:00:00;1.09493;1.09555;1.09447;1.09448;1125
2024-01-10 13:30:00;1.09448;1.09473;1.09418;1.0946;1182
2024-01-10 14:00:00;1.0946;1.09505;1.09454;1.09488;986
2024-01-10 14:30:00;1.09488;1.0950199999999999;1.09433;1.0944;1289
2024-01-10 15:00:00;1.0944;1.09519;1.09414;1.09462;1843
2024-01-10 15:30:00;1.09463;1.09486;1.09406;1.09406;1567
2024-01-10 16:00:00;1.09404;1.09416;1.09354;1.09381;1543
2024-01-10 16:30:00;1.09382;1.09403;1.09322;1.094;2260
2024-01-10 17:00:00;1.094;1.09488;1.09358;1.09474;2130
2024-01-10 17:30:00;1.09473;1.09691;1.09471;1.0967500000000001;2546
