Gmt time;Open;High;Low;Close;Volume
2024-01-09 00:00:00;1.09496;1.09547;1.09485;1.09494;683
2024-01-09 01:00:00;1.09503;1.09524;1.09494;1.09499;701
2024-01-09 02:00:00;1.09499;1.09593;1.09494;1.0955300000000001;1552
2024-01-09 03:00:00;1.09552;1.09618;1.09515;1.09615;2071
2024-01-09 04:00:00;1.09616;1.09648;1.09607;1.09629;1435
2024-01-09 05:00:00;1.09629;1.09662;1.09609;1.09628;1315
2024-01-09 06:00:00;1.09629;1.09631;1.09536;1.09562;966
2024-01-09 07:00:00;1.09562;1.09563;1.09481;1.09498;1165
2024-01-09 08:00:00;1.09498;1.0955;1.09482;1.09501;1734
2024-01-09 09:00:00;1.095;1.0963;1.09461;1.09567;3202
2024-01-09 10:00:00;1.09566;1.09566;1.0939;1.09499;3725
2024-01-09 11:00:00;1.09499;1.09506;1.09381;1.09438;3729
2024-01-09 12:00:00;1.09444;1.09482;1.09326;1.09353;3178
2024-01-09 13:00:00;1.09353;1.09359;1.09289;1.09315;2626
2024-01-09 14:00:00;1.09315;1.09417;1.09289;1.09406;3385
2024-01-09 15:00:00;1.09407;1.09469;1.0933;1.09461;5136
2024-01-09 16:00:00;1.0946;1.09513;1.09381;1.09456;6016
2024-01-09 17:00:00;1.09459;1.09468;1.09177;1.09179;5996
2024-01-09 18:00:00;1.09178;1.09352;1.09106;1.09344;3940
2024-01-09 19:00:00;1.09344;1.09392;1.09302;1.0934;3007
2024-01-09 20:00:00;1.09341;1.09399;1.09225;1.09242;3120
2024-01-09 21:00:00;1.09242;1.09286;1.0919699999999999;1.0925;2221
2024-01-09 22:00:00;1.0925;1.09293;1.09247;1.09276;2193
2024-01-09 23:00:00;1.09279;1.0931;1.09274;1.09305;973
2024-01-10 00:00:00;1.09275;1.09283;1.09221;1.09274;762
2024-01-10 01:00:00;1.09275;1.09324;1.09273;1.09318;513
2024-01-10 02:00:00;1.09318;1.09364;1.0929;1.09308;1634
2024-01-10 03:00:00;1.09308;1.09334;1.09261;1.09323;1712
2024-01-10 04:00:00;1.09323;1.0936;1.09318;1.09339;1368
2024-01-10 05:00:00;1.09339;1.09361;1.09277;1.09294;1318
2024-01-10 06:00:00;1.09292;1.0933;1.09288;1.09321;937
2024-01-10 07:00:00;1.09321;1.09341;1.09305;1.09325;899
2024-01-10 08:00:00;1.09323;1.09335;1.09236;1.09247;1556
2024-01-10 09:00:00;1.09253;1.09454;1.09247;1.09262;3639
2024-01-10 10:00:00;1.09262;1.09449;1.09227;1.09434;4203
2024-01-10 11:00:00;1.09435;1.09519;1.09417;1.09473;2994
2024-01-10 12:00:00;1.09473;1.09548;1.09452;1.09493;2652
2024-01-10 13:00:00;1.09493;1.09555;1.09418;1.0946;2307
2024-01-10 14:00:00;1.0946;1.09505;1.09433;1.0944;2275
2024-01-10 15:00:00;1.0944;1.09519;1.09406;1.09406;3410
2024-01-10 16:00:00;1.09404;1.09416;1.09322;1.094;3803
2024-01-10 17:00:00;1.094;1.09691;1.09358;1.0967500000000001;4676
2024-01-10 18:00:00;1.0967500000000001;1.09691;1.09525;1.0959;3442
2024-01-10 19:00:00;1.09591;1.09682;1.09582;1.09672;2208
2024-01-10 20:00:00;1.09671;1.09698;1.09596;1.09696;2208
2024-01-10 21:00:00;1.09696;1.09708;1.09667;1.09701;1611
2024-01-10 22:00:00;1.09701;1.09726;1.09613;1.09653;3116
2024-01-10 23:00:00;1.09653;1.09725;1.09644;1.09718;1422
2024-01-11 00:00:00;1.09665;1.09714;1.09651;1.09712;377
2024-01-11 01:00:00;1.09712;1.09748;1.09706;1.09739;720
2024-01-11 02:00:00;1.09743;1.09788;1.09729;1.09779;1475
2024-01-11 03:00:00;1.0977999999999999;1.09803;1.09752;1.09789;1822
2024-01-11 04:00:00;1.09789;1.09848;1.09771;1.09782;1661
2024-01-11 05:00:00;1.09783;1.09812;1.09774;1.09804;861
2024-01-11 06:00:00;1.09804;1.09828;1.09776;1.09779;910
2024-01-11 07:00:00;1.09779;1.09815;1.09758;1.09784;1319
2024-01-11 08:00:00;1.09784;1.09885;1.09745;1.0985800000000001;1675
2024-01-11 09:00:00;1.09859;1.09868;1.09774;1.0979;1942
2024-01-11 10:00:00;1.0979;1.09814;1.09718;1.09752;3106
2024-01-11 11:00:00;1.09752;1.09754;1.09589;1.09638;3100
2024-01-11 12:00:00;1.09638;1.09698;1.09587;1.09689;2851
2024-01-11 13:00:00;1.09689;1.09825;1.09677;1.09788;2685
2024-01-11 14:00:00;1.09788;1.09905;1.09763;1.09838;2545
2024-01-11 15:00:00;1.09838;1.09987;1.09356;1.09392;9287
2024-01-11 16:00:00;1.09396;1.09735;1.09315;1.09542;9472
2024-01-11 17:00:00;1.09542;1.09629;1.09303;1.09465;8253
2024-01-11 18:00:00;1.09465;1.09573;1.09366;1.09423;6476
2024-01-11 19:00:00;1.09423;1.09545;1.09415;1.09509;5195
2024-01-11 20:00:00;1.09509;1.0966;1.09499;1.09649;3681
2024-01-11 21:00:00;1.09649;1.09827;1.09649;1.09819;3505
2024-01-11 22:00:00;1.09819;1.09823;1.09559;1.09709;4181
2024-01-11 23:00:00;1.09709;1.09747;1.09699;1.09728;1579
2024-01-12 00:00:00;1.09686;1.09731;1.09655;1.09715;717
2024-01-12 01:00:00;1.0971;1.09826;1.09688;1.09825;1056
2024-01-12 02:00:00;1.09825;1.09848;1.09741;1.09759;1781
2024-01-12 03:00:00;1.09755;1.09843;1.09725;1.09825;2029
2024-01-12 04:00:00;1.09825;1.09854;1.09782;1.0979700000000001;1731
2024-01-12 05:00:00;1.0979700000000001;1.09829;1.09772;1.09778;881
2024-01-12 06:00:00;1.09778;1.09778;1.09733;1.09756;899
2024-01-12 07:00:00;1.09756;1.09805;1.09739;1.09756;1072
2024-01-12 08:00:00;1.09756;1.09787;1.09733;1.09753;1035
2024-01-12 09:00:00;1.09754;1.09777;1.0961;1.09665;3090
2024-01-12 10:00:00;1.0965799999999999;1.09828;1.09648;1.09752;3847
