Gmt time;Open;High;Low;Close;Volume
2024-01-09;1.09496;1.09662;1.09106;1.09305;64069
2024-01-10;1.09275;1.09726;1.09221;1.09718;54665
2024-01-11;1.09665;1.09987;1.09303;1.09728;78678
2024-01-12;1.09686;1.0987;1.09359;1.09499;68957
2024-01-15;1.09468;1.09677;1.09336;1.09499;40884
2024-01-16;1.09479;1.09507;1.08622;1.08752;74087
2024-01-17;1.08716;1.08845;1.08446;1.08815;65731
2024-01-18;1.08806;1.09068;1.08468;1.0875;64855
2024-01-19;1.08725;1.08976;1.08652;1.08972;55550
2024-01-22;1.08895;1.09094;1.088;1.08824;49650
2024-01-23;1.08825;1.09162;1.08217;1.08534;56813
2024-01-24;1.0845;1.09323;1.08413;1.08844;66483
2024-01-25;1.08816;1.09018;1.08217;1.08458;68020
2024-01-26;1.08427;1.08857;1.0813;1.08537;58487
2024-01-29;1.08415;1.08502;1.07959;1.08331;52207
2024-01-30;1.08308;1.08572;1.0812;1.08449;57793
2024-01-31;1.08392;1.08875;1.07948;1.08174;92706
2024-02-01;1.08165;1.08748;1.078;1.08719;82848
2024-02-02;1.08706;1.08975;1.07806;1.0786;69978
2024-02-05;1.07855;1.07861;1.07234;1.07423;61880
2024-02-06;1.0739;1.07624;1.07228;1.07539;60558
2024-02-07;1.07522;1.0784;1.07488;1.07725;55288
2024-02-08;1.07698;1.0789;1.07417;1.07775;50985
2024-02-09;1.07758;1.0795;1.07623;1.07847;51863
2024-02-12;1.0778;1.08055;1.07559;1.07715;40408
2024-02-13;1.07712;1.07949;1.07006;1.07086;59818
2024-02-14;1.07078;1.07346;1.06951;1.07276;51583
2024-02-15;1.07252;1.07849;1.07223;1.07721;51935
2024-02-16;1.07685;1.07875;1.07322;1.07764;52658
2024-02-19;1.07713;1.07894;1.07621;1.07781;30745
2024-02-20;1.07771;1.08389;1.07617;1.08076;52923
2024-02-21;1.08045;1.08244;1.07901;1.08197;48978
2024-02-22;1.08153;1.08881;1.0803;1.08226;56469
2024-02-23;1.08186;1.08395;1.0812;1.0819;46547
2024-02-26;1.08286;1.08598;1.08128;1.08513;40975
2024-02-27;1.08476;1.08659;1.08331;1.08447;43000
2024-02-28;1.08419;1.08459;1.07968;1.08382;47096
2024-02-29;1.08348;1.08559;1.07959;1.08049;61333
2024-03-01;1.07997;1.08432;1.07983;1.0838700000000001;54328
2024-03-04;1.08335;1.08668;1.08335;1.08551;40213
2024-03-05;1.08531;1.08762;1.08404;1.08567;46209
2024-03-06;1.08534;1.09154;1.08422;1.08989;51472
2024-03-07;1.08972;1.09491;1.0868;1.09479;55502
2024-03-08;1.09445;1.09813;1.09174;1.09376;61749
2024-03-11;1.09398;1.09482;1.09147;1.09251;42277
2024-03-12;1.09203;1.09438;1.09022;1.09261;50196
2024-03-13;1.09247;1.09639;1.09203;1.0948;40777
2024-03-14;1.09474;1.09548;1.08807;1.0883;47511
2024-03-15;1.08811;1.08997;1.0873;1.08867;39342
2024-03-18;1.0886;1.09062;1.08662;1.08716;32434
2024-03-19;1.08708;1.08766;1.08348;1.08655;40282
2024-03-20;1.08623;1.09228;1.08365;1.09222;47411
2024-03-21;1.09192;1.09427;1.08555;1.08595;50995
2024-03-22;1.08567;1.08681;1.08018;1.08068;40545
2024-03-25;1.08063;1.08426;1.08023;1.08373;34769
2024-03-26;1.08361;1.08644;1.08245;1.08313;42646
2024-03-27;1.08302;1.0839;1.08109;1.08276;40352
2024-03-28;1.08254;1.08269;1.07751;1.0787;46358
2024-03-29;1.07865;1.08051;1.0768;1.0789900000000001;30611
2024-04-01;1.07864;1.07989;1.0731;1.0743;33763
2024-04-02;1.07392;1.07791;1.07247;1.0769;43223
2024-04-03;1.07686;1.0836999999999999;1.07641;1.08359;44984
2024-04-04;1.0831;1.08766;1.08289;1.08364;39929
2024-04-05;1.08336;1.0848;1.07915;1.08364;52954
2024-04-08;1.08347;1.08622;1.0821;1.08593;40756
2024-04-09;1.08554;1.08852;1.08478;1.08566;36460
2024-04-10;1.08555;1.0866500000000001;1.07288;1.07423;60209
2024-04-11;1.0742099999999999;1.07566;1.06993;1.07258;58222
2024-04-12;1.0726;1.07293;1.06226;1.06404;55644
2024-04-15;1.06302;1.06653;1.06204;1.06237;67427
2024-04-16;1.06216;1.06536;1.06013;1.06184;79958
2024-04-17;1.06157;1.06798;1.06063;1.06727;67185
2024-04-18;1.06717;1.069;1.06412;1.06436;56691
2024-04-19;1.06417;1.0677699999999999;1.06106;1.06563;80959
2024-04-22;1.0651;1.06707;1.06241;1.06536;45797
2024-04-23;1.06521;1.07114;1.06386;1.07024;54580
2024-04-24;1.0701;1.07142;1.06781;1.06992;46414
2024-04-25;1.0692;1.07397;1.06785;1.0729899999999999;58667
2024-04-26;1.07274;1.07529;1.0674;1.06927;57370
2024-04-29;1.06877;1.07338;1.06877;1.07198;65206
2024-04-30;1.0719400000000001;1.07355;1.06647;1.06656;65204
2024-05-01;1.06641;1.07328;1.06495;1.07136;66862
2024-05-02;1.07062;1.07303;1.06743;1.07246;69632
2024-05-03;1.0723799999999999;1.08127;1.0722;1.07617;74828
2024-05-06;1.0758;1.07908;1.07552;1.077;40353
2024-05-07;1.07645;1.07875;1.07479;1.0755;42923
2024-05-08;1.07515;1.07575;1.07351;1.07479;37428
2024-05-09;1.07455;1.07845;1.0724;1.07801;43624
2024-05-10;1.07791;1.07901;1.0760399999999999;1.07694;42335
2024-05-13;1.07695;1.08069;1.07652;1.07898;38738
2024-05-14;1.07858;1.08257;1.07669;1.08196;46097
2024-05-15;1.08176;1.0886;1.08132;1.08835;54778
2024-05-16;1.08832;1.08951;1.08544;1.08667;46094
2024-05-17;1.08628;1.08785;1.08357;1.0869;37689
2024-05-20;1.08649;1.08846;1.08544;1.08562;34781
2024-05-21;1.08558;1.08749;1.08428;1.08539;44115
2024-05-22;1.08533;1.08636;1.08175;1.0822;46421
2024-05-23;1.08195;1.08611;1.08048;1.08154;53669
2024-05-24;1.08106;1.08578;1.08056;1.08455;40599
2024-05-27;1.08445;1.08676;1.084;1.0855;24564
